"RiskPerformance","ExternalRiskEstimate","MSinceOldestTradeOpen","MSinceMostRecentTradeOpen","AverageMInFile","NumSatisfactoryTrades","NumTrades60Ever2DerogPubRec","NumTrades90Ever2DerogPubRec","PercentTradesNeverDelq","MSinceMostRecentDelq","MaxDelq2PublicRecLast12M","MaxDelqEver","NumTotalTrades","NumTradesOpeninLast12M","PercentInstallTrades","MSinceMostRecentInqexcl7days","NumInqLast6M","NumInqLast6Mexcl7days","NetFractionRevolvingBurden","NetFractionInstallBurden","NumRevolvingTradesWBalance","NumInstallTradesWBalance","NumBank2NatlTradesWHighUtilization","PercentTradesWBalance"
"Good",76,179,7,91,22,0,0,100,-7,7,8,45,1,45,-7,0,0,40,88,4,2,1,78
"Bad",62,201,3,84,31,1,0,69,11,4,5,39,2,9,-7,4,4,13,99,4,1,2,36
"Bad",70,154,8,124,9,1,0,70,5,3,5,24,1,50,-7,1,1,9,-8,1,1,0,40
"Good",71,55,3,30,20,0,0,100,-7,7,8,14,4,45,-7,1,1,40,94,6,4,0,91
"Bad",83,255,3,72,29,0,0,100,-7,7,8,34,2,21,-7,2,2,2,-8,5,1,0,38
"Good",81,216,4,70,32,0,0,100,-7,7,8,22,5,22,-7,0,0,4,54,8,2,0,56
"Good",72,330,4,104,33,0,0,97,23,6,6,32,5,21,-7,1,1,20,59,7,2,2,47
"Bad",64,224,3,102,36,0,0,94,1,4,6,9,1,11,-7,0,0,71,23,6,2,2,56
"Bad",57,192,13,71,26,0,0,89,8,4,6,37,0,59,-7,2,2,60,49,7,4,2,100
"Bad",87,182,3,83,20,0,0,100,-7,7,8,13,4,35,-7,0,0,5,54,5,2,0,47
"Good",88,160,13,79,7,0,0,100,-7,7,8,14,0,29,-7,0,0,8,72,2,2,0,67
"Bad",74,115,13,31,10,0,0,100,-7,7,8,35,0,40,-7,1,1,21,73,3,2,1,86
"Good",72,166,2,58,29,0,0,100,-7,7,8,33,5,20,-7,0,0,34,90,4,2,1,33
"Good",76,185,4,69,32,0,0,97,25,6,6,34,3,13,-7,1,1,16,54,4,3,0,41
"Bad",73,-8,1,104,12,1,0,93,5,3,5,0,1,43,-7,1,1,0,100,1,2,0,50
"Good",86,271,10,113,26,0,0,100,-7,7,8,32,2,27,-7,1,0,13,50,2,3,0,33
"Good",85,68,6,84,26,0,0,100,-7,7,8,7,1,27,-7,0,0,2,68,2,5,0,57
"Good",82,426,3,115,33,0,0,100,-7,7,8,32,2,21,-7,1,1,13,56,4,2,0,58
"Bad",76,94,2,49,25,0,0,100,-7,7,8,30,5,33,-7,4,4,20,81,2,4,0,40
"Bad",63,84,2,65,25,0,0,96,0,4,6,7,2,50,-7,2,2,46,98,3,1,2,50
"Bad",67,248,9,45,30,1,0,94,28,6,5,28,2,16,-7,0,0,40,77,6,4,1,45
"Bad",77,117,16,59,11,0,0,100,-7,7,8,12,0,18,-7,1,1,34,-8,2,1,1,38
"Good",77,426,9,124,19,0,0,95,18,6,6,14,1,50,-7,0,0,46,-8,3,1,1,57
"Bad",67,57,1,41,14,0,0,94,24,6,6,4,2,25,-7,3,3,32,55,7,3,2,77
"Good",56,128,9,87,14,2,0,88,1,3,5,12,2,29,-7,0,0,22,38,3,3,0,100
"Bad",80,167,1,48,12,0,0,100,-7,7,8,22,4,57,-7,5,5,27,-8,3,1,0,100
"Bad",71,154,1,62,7,0,0,90,1,4,6,27,2,40,-7,3,2,14,-8,3,1,0,80
"Good",80,290,5,96,14,0,0,100,-7,7,8,43,2,21,-7,1,1,29,-8,5,2,1,58
"Bad",67,235,5,39,11,0,0,91,6,4,6,30,3,27,-7,1,1,47,78,3,2,0,71
"Good",89,153,19,67,14,0,0,100,-7,7,8,20,0,36,-7,0,0,6,-8,2,1,0,60
"Bad",75,195,2,64,36,0,0,100,-7,7,8,27,5,29,-7,2,2,54,79,9,6,2,83
"Bad",74,319,5,68,22,0,0,100,-7,7,8,30,2,23,-7,3,3,39,90,3,2,1,75
"Good",73,197,5,79,40,0,0,100,-7,7,8,6,2,25,-7,3,3,31,70,2,6,1,38
"Bad",69,168,1,78,17,0,0,89,9,4,6,10,2,58,-7,2,2,34,69,3,5,1,80
"Bad",76,212,14,87,21,0,0,100,-7,5,7,21,0,33,-7,0,0,40,85,7,2,0,90
"Bad",75,253,12,40,22,0,0,100,-7,7,8,50,0,32,-7,5,5,8,47,3,2,0,46
"Good",76,69,2,35,15,0,0,100,-7,7,8,17,2,18,-7,0,0,20,-8,4,1,1,50
"Good",78,253,7,71,24,0,0,100,-7,7,8,52,3,52,-7,0,0,47,61,3,4,1,70
"Bad",80,254,3,73,25,0,0,100,-7,7,8,28,4,32,-7,3,3,0,99,2,2,0,36
"Good",75,281,20,91,19,0,0,95,27,6,6,12,0,16,-7,3,3,22,81,5,1,0,60
"Bad",66,118,6,22,10,0,0,90,-8,6,6,32,2,40,-7,0,0,31,77,3,3,1,75
"Bad",80,267,15,69,9,1,0,80,30,6,5,14,0,30,-7,1,1,11,86,1,2,0,60
"Good",87,440,9,105,26,0,0,100,-7,7,8,34,2,23,-7,0,0,15,47,2,2,0,29
"Good",80,329,16,83,20,0,0,95,36,6,6,31,0,14,-7,2,2,9,-8,3,1,1,40
"Good",78,217,6,71,41,0,0,98,25,6,6,24,2,24,-7,1,1,12,33,3,3,0,32
"Bad",73,178,2,42,11,0,0,100,-7,7,8,11,2,8,-7,0,0,40,100,4,1,1,71
"Bad",74,-8,9,50,15,0,0,100,-7,7,8,0,2,60,-7,0,0,45,84,4,3,1,88
"Good",71,410,4,53,19,0,0,84,22,6,6,23,2,42,-7,2,2,40,38,4,4,0,75
"Bad",64,261,5,62,27,2,0,76,2,4,5,39,3,28,-7,1,1,8,-8,2,2,1,40
"Bad",77,127,2,62,11,0,0,100,-7,7,8,10,1,25,-7,3,3,28,43,3,2,1,83
"Bad",88,-8,21,134,16,0,0,100,-7,7,8,0,0,13,-7,0,0,7,61,3,1,0,57
"Good",87,218,17,98,17,0,0,100,-7,7,8,39,0,35,-7,0,0,0,6,1,1,0,29
"Good",81,192,4,40,12,0,0,100,-7,7,8,12,2,29,-7,1,1,8,14,3,2,0,56
"Good",81,80,10,86,13,0,0,100,-7,7,8,19,3,31,-7,0,0,39,-8,5,1,0,100
"Bad",75,247,1,80,28,0,0,87,17,6,6,46,2,23,-7,2,2,8,97,4,2,1,40
"Good",81,263,2,78,44,0,0,100,-7,7,8,38,4,20,-7,5,5,4,100,3,2,0,25
"Bad",71,183,1,60,15,0,0,100,-7,7,8,25,4,24,-7,5,5,41,49,6,3,2,69
"Good",69,209,5,105,40,0,0,90,28,6,6,6,6,24,-7,2,2,36,87,7,2,2,63
"Bad",65,109,1,54,35,0,0,97,3,4,6,34,2,42,-7,2,2,6,74,2,2,1,44
"Bad",75,316,14,56,14,0,0,100,-7,7,8,31,0,21,-7,0,0,41,-8,2,1,2,43
"Bad",75,194,5,55,21,0,0,100,-7,7,8,10,4,14,-7,1,1,42,-8,9,1,0,69
"Bad",70,189,9,82,14,0,0,87,17,6,6,16,1,53,-7,0,0,43,37,2,2,0,100
"Bad",69,129,13,63,24,1,0,80,20,6,5,25,0,24,-7,0,0,51,71,4,3,2,53
"Good",83,-8,2,114,21,0,0,100,-7,7,8,0,2,36,-7,1,1,27,91,4,2,0,100
"Bad",78,202,1,102,12,0,0,86,17,6,6,39,2,57,-7,0,0,16,101,3,4,0,89
"Bad",69,300,5,66,31,0,0,100,-7,7,8,36,7,16,-7,1,1,44,51,9,3,2,60
"Bad",81,190,17,84,10,0,0,75,25,6,6,35,0,50,-7,1,1,4,76,2,2,0,67
"Bad",78,-8,1,102,12,0,0,86,17,6,6,0,2,57,-7,0,0,16,101,3,4,0,89
"Good",79,126,11,64,28,0,0,100,-7,6,7,4,1,39,-7,0,0,33,-8,3,2,0,56
"Bad",74,225,2,71,26,0,0,100,-7,7,8,32,6,50,-7,3,2,40,77,8,5,1,100
"Bad",62,134,2,9,7,0,0,100,-7,7,8,15,6,13,-7,2,2,44,-8,3,1,0,57
"Good",79,77,7,48,16,0,0,100,-7,7,8,6,1,44,-7,0,0,0,74,2,2,0,57
"Good",81,328,1,85,27,0,0,100,-7,7,8,25,4,18,-7,0,0,12,101,5,2,0,41
"Bad",68,248,5,45,18,0,0,94,23,6,6,13,1,33,-7,5,5,64,52,2,3,1,63
"Good",65,236,1,104,30,0,0,84,0,4,6,20,2,13,-7,1,1,21,26,7,2,1,50
"Bad",75,179,6,83,23,0,0,100,-7,7,8,23,1,30,-7,0,0,43,84,8,2,1,71
"Bad",84,241,4,93,17,0,0,95,28,6,6,40,3,53,-7,1,1,8,100,2,2,0,67
"Good",70,158,7,77,25,0,0,96,21,6,6,39,1,12,-7,2,2,15,-8,8,1,1,67
"Good",84,152,6,61,18,0,0,100,-7,7,8,5,2,56,-7,0,0,3,-8,2,4,0,86
"Bad",58,46,7,38,13,0,0,93,8,4,6,5,1,50,-7,2,2,80,84,5,4,1,90
"Bad",82,184,22,97,19,0,0,100,-7,7,8,14,0,21,-7,2,2,31,71,3,2,0,71
"Bad",62,265,22,68,7,0,0,71,3,4,6,14,0,29,-7,0,0,79,-8,2,1,1,75
"Bad",60,75,4,38,27,0,0,96,36,6,6,9,4,30,-7,1,1,64,85,8,5,2,70
"Bad",71,210,7,93,26,0,0,100,-7,7,8,44,1,57,-7,0,0,83,84,6,6,1,86
"Good",88,133,14,83,19,0,0,100,-7,7,8,47,0,32,-7,1,1,4,-8,2,1,1,43
"Good",72,178,1,60,29,0,0,100,-7,7,8,48,2,43,-7,3,3,60,85,6,2,2,89
"Good",80,161,8,81,18,0,0,94,44,6,6,28,1,33,-7,5,4,7,-8,3,1,0,100
"Good",79,262,5,81,26,0,0,100,-7,7,8,30,2,31,-7,0,0,13,-8,6,3,0,90
"Good",82,311,17,133,18,0,0,100,-7,7,8,21,0,22,-7,0,0,34,-8,4,2,1,60
"Bad",64,-8,2,56,12,0,0,71,5,4,6,0,2,50,-7,1,1,19,42,1,2,1,60
"Good",84,112,3,55,15,0,0,93,-8,6,6,24,2,47,-7,0,0,3,-8,2,1,0,43
"Bad",67,77,3,109,21,0,0,86,3,4,6,4,2,19,-7,3,3,22,83,5,1,0,60
"Bad",62,227,9,30,7,1,0,88,13,6,5,22,2,50,-7,0,0,96,-8,4,1,1,100
"Good",87,81,4,126,14,0,0,100,-7,7,8,4,1,14,-7,2,2,4,-8,3,1,0,40
"Bad",64,194,3,51,14,0,0,86,5,4,6,21,5,14,-7,0,0,21,51,4,1,1,63
"Good",75,188,6,68,30,0,0,100,-7,7,8,26,2,39,-7,1,1,22,74,7,6,2,68
"Good",88,273,22,79,19,0,0,100,-7,7,8,37,0,30,-7,0,0,2,19,2,2,0,36
"Good",91,-8,7,97,19,0,0,100,-7,7,8,0,1,47,-7,1,1,0,-8,2,1,0,75
"Good",69,153,4,118,16,1,0,72,34,6,5,15,1,11,-7,0,0,58,-8,8,1,0,82
"Good",80,187,4,71,39,0,0,100,-7,7,8,26,1,15,-7,1,1,4,77,8,2,0,48
"Good",76,195,3,67,32,0,0,100,-7,7,8,27,5,38,-7,2,2,27,87,6,4,0,91
"Good",66,104,4,85,25,0,0,96,11,4,6,7,3,31,-7,2,2,38,-8,7,1,1,80
"Bad",63,46,2,21,13,0,0,100,-7,7,8,23,5,21,-7,3,3,66,78,7,2,2,75
"Bad",60,279,2,37,29,0,0,97,6,4,6,48,7,23,-7,1,1,31,90,6,3,2,45
"Bad",58,205,8,15,4,0,0,100,-7,7,8,16,3,25,-7,3,3,91,-8,3,1,1,100
"Bad",68,-8,4,17,14,0,0,100,-7,7,8,0,7,21,-7,3,3,11,-8,2,2,1,40
"Bad",66,40,4,20,11,0,0,100,-7,7,8,12,3,27,-7,4,4,69,94,3,2,1,83
"Good",77,196,3,75,37,0,0,95,16,6,6,34,2,30,-7,2,2,13,82,4,5,0,47
"Good",79,70,1,66,20,1,0,96,30,6,5,14,2,17,-7,0,0,10,-8,1,1,1,25
"Good",74,157,9,43,19,0,0,100,-7,5,7,2,2,25,-7,0,0,36,62,5,3,0,67
"Bad",77,98,1,46,22,0,0,100,-7,7,8,33,5,30,-7,4,4,2,92,3,3,0,46
"Good",64,221,2,15,6,0,0,100,-7,7,8,15,3,29,-7,1,1,74,81,4,2,1,100
"Good",91,244,20,84,12,0,0,100,-7,7,8,15,0,43,-7,0,0,0,51,0,2,0,50
"Bad",73,-8,2,57,15,0,0,94,4,4,6,0,3,50,-7,1,1,5,75,3,5,0,73
"Bad",63,240,15,73,22,0,0,82,2,4,6,2,0,14,-7,0,0,37,-8,6,2,1,57
"Bad",57,78,5,95,10,0,0,82,11,4,6,5,2,18,-7,0,0,62,-8,5,1,1,100
"Good",87,65,17,71,10,0,0,100,-7,7,8,8,0,40,-7,0,0,12,-8,4,1,0,83
"Good",87,172,17,112,18,0,0,100,-7,7,8,3,0,28,-7,0,0,7,25,4,2,0,75
"Bad",79,13,9,49,23,0,0,100,-7,7,8,1,1,22,-7,0,0,12,86,1,2,0,33
"Bad",69,84,4,97,12,0,0,71,28,6,6,3,2,21,-7,1,1,54,-8,3,1,2,56
"Good",63,41,15,103,17,0,0,88,4,4,6,10,0,29,-7,1,1,36,-8,2,1,2,43
"Bad",76,155,8,75,19,0,0,100,-7,7,8,31,1,32,-7,1,1,46,53,5,3,1,100
"Bad",65,11,10,39,17,1,0,72,13,6,5,1,2,39,-7,5,5,0,-8,3,2,0,63
"Bad",75,360,1,43,18,0,0,100,-7,7,8,37,6,32,-7,0,0,36,38,3,3,0,55
"Bad",77,301,4,149,13,0,0,92,9,4,6,42,2,31,-7,0,0,20,89,6,2,1,80
"Bad",70,-8,4,55,18,1,0,89,11,4,5,0,2,37,-7,2,2,28,75,2,3,0,71
"Bad",78,272,4,90,14,0,0,100,-7,7,8,25,2,29,-7,0,0,32,-8,6,1,2,78
"Bad",62,322,1,40,16,1,0,94,23,6,5,28,5,44,-7,4,4,31,84,7,4,1,85
"Bad",67,300,16,92,21,0,0,86,32,6,6,24,0,14,-7,1,1,41,69,8,2,2,56
"Bad",67,201,8,64,32,1,0,80,14,6,5,25,2,11,-7,1,1,69,65,8,2,2,100
"Bad",84,142,17,65,12,0,0,100,-7,7,8,13,0,42,-7,0,0,17,-8,2,2,0,57
"Bad",62,398,3,110,17,0,0,82,3,4,6,16,4,47,-7,2,2,74,29,4,3,2,88
"Bad",77,166,5,50,9,0,0,100,-7,7,8,40,2,33,-7,1,1,56,96,3,3,1,100
"Good",89,147,1,145,13,0,0,100,-7,7,8,19,1,7,-7,2,2,2,16,1,1,0,25
"Good",79,111,2,67,40,0,0,100,-7,7,8,5,1,12,-7,1,1,1,85,9,2,0,44
"Good",76,78,8,44,19,0,0,100,-7,7,8,11,3,42,-7,1,1,17,94,5,2,0,78
"Bad",65,-8,6,48,14,2,0,76,12,6,5,0,3,59,-7,5,3,16,67,2,6,0,90
"Bad",73,-8,12,54,10,0,0,92,3,4,6,19,0,15,-7,0,0,1,22,1,2,0,57
"Bad",57,57,4,36,15,0,0,80,10,4,6,10,5,40,-7,1,1,71,63,7,3,1,91
"Good",60,2,5,138,18,0,0,86,4,4,6,1,1,29,-7,1,1,71,82,5,2,2,89
"Good",69,140,15,54,8,1,0,78,25,6,5,16,0,44,-7,1,1,48,76,4,2,1,86
"Bad",86,97,14,68,24,0,0,100,-7,7,8,33,0,12,-7,0,0,2,-8,1,1,0,25
"Good",73,255,12,40,10,0,0,100,-7,7,8,35,0,30,-7,3,3,62,73,3,2,2,83
"Bad",59,271,5,76,28,0,0,89,2,4,6,27,1,36,-7,3,3,23,97,8,3,0,69
"Bad",58,295,5,12,9,0,0,89,2,4,6,18,6,11,-7,0,0,29,-8,7,1,0,89
"Good",80,201,4,93,28,1,0,97,37,6,5,9,2,7,-7,0,0,11,99,4,1,0,33
"Bad",70,131,17,65,22,0,0,100,-7,7,8,24,0,45,-7,1,1,84,72,4,4,2,73
"Bad",71,237,9,45,24,0,0,100,-7,7,8,50,3,25,-7,3,3,32,73,5,4,1,53
"Good",89,143,11,103,27,0,0,100,-7,7,8,13,1,11,-7,0,0,0,-8,1,1,0,14
"Bad",68,265,2,84,21,0,0,95,2,4,6,36,3,55,-7,2,2,27,100,3,2,1,71
"Good",88,393,6,107,28,0,0,100,-7,7,8,22,2,29,-7,0,0,0,-8,6,2,0,44
"Good",80,191,5,112,18,0,0,100,-7,7,8,31,2,35,-7,0,0,32,-8,7,1,1,69
"Good",69,190,6,66,30,1,0,91,17,6,5,21,2,25,-7,0,0,37,-8,6,1,1,70
"Bad",78,82,5,54,33,0,0,100,-7,7,8,41,2,15,-7,3,3,21,11,9,3,2,50
"Bad",80,247,11,133,45,0,0,92,25,6,6,53,1,45,-7,0,0,2,29,5,4,0,53
"Bad",66,120,3,60,23,1,0,83,22,5,5,30,2,17,-7,2,1,44,70,4,2,0,67
"Bad",64,326,9,142,26,1,0,81,8,4,5,24,2,19,-7,2,2,21,52,5,3,1,57
"Bad",65,176,1,19,18,0,0,100,-7,7,8,37,7,10,-7,4,4,38,100,8,2,2,59
"Good",88,193,17,119,12,0,0,100,-7,7,8,14,0,33,-7,2,2,17,-8,2,1,0,75
"Good",73,199,15,68,33,0,0,100,-7,7,8,13,0,33,-7,0,0,26,88,3,3,2,40
"Bad",70,72,5,22,10,0,0,100,-7,7,8,8,2,40,-7,1,0,64,73,6,2,1,100
"Bad",76,126,5,64,12,0,0,100,-7,7,8,8,2,31,-7,0,0,66,-8,2,1,2,75
"Bad",80,-8,10,90,25,0,0,92,6,4,6,0,1,28,-7,0,0,8,55,4,3,0,73
"Bad",81,176,5,78,37,0,0,100,-7,7,8,36,4,37,-7,2,2,0,80,2,3,0,42
"Bad",67,-8,2,17,11,0,0,100,-7,7,8,0,6,8,-7,2,2,65,-8,6,1,1,70
"Bad",73,73,8,56,15,0,0,100,-7,7,8,4,1,47,-7,1,1,96,68,2,3,1,100
"Bad",66,26,2,51,7,0,0,90,4,4,6,3,2,60,-7,2,1,28,77,2,3,0,83
"Bad",78,126,12,60,11,0,0,100,-7,7,8,15,0,33,-7,0,0,53,86,2,2,2,80
"Bad",65,121,4,61,29,0,0,90,13,6,6,1,3,37,-7,1,1,39,32,4,6,2,69
"Good",81,160,5,79,27,0,0,100,-7,7,8,21,2,56,-7,0,0,46,26,3,3,1,67
"Bad",61,30,2,43,14,1,0,88,2,3,5,3,3,38,-7,0,0,44,86,4,2,1,50
"Good",86,280,6,109,21,0,0,100,-7,7,8,21,1,33,-7,0,0,19,82,3,3,0,60
"Good",84,325,1,89,22,0,0,100,-7,7,8,17,4,33,-7,3,3,6,-8,2,1,0,33
"Good",80,258,3,81,35,0,0,97,44,6,6,28,4,31,-7,2,2,29,75,8,4,0,75
"Bad",63,363,3,24,17,0,0,94,33,6,6,39,7,29,-7,1,1,68,99,8,3,1,92
"Good",88,311,5,92,23,0,0,100,-7,7,8,16,2,8,-7,1,1,1,-8,2,1,0,25
"Bad",88,-8,10,98,23,0,0,100,-7,7,8,38,1,29,-7,2,2,1,35,6,2,0,73
"Good",75,160,17,39,10,0,0,100,-7,7,8,8,0,36,-7,0,0,62,56,3,2,1,100
"Bad",65,184,3,35,8,0,0,100,-7,7,8,8,3,75,-7,1,1,103,89,1,4,1,100
"Bad",76,151,5,107,18,0,0,100,-7,7,8,1,3,28,-7,1,1,47,92,6,3,0,75
"Bad",70,210,20,27,4,0,0,100,-7,7,8,51,0,50,-7,1,1,102,97,2,2,1,100
"Bad",85,122,5,105,18,0,0,100,-7,7,8,28,2,44,-7,4,4,11,-8,2,1,0,75
"Good",89,136,17,77,7,0,0,100,-7,7,8,6,0,14,-7,0,0,6,-8,2,1,0,75
"Bad",81,74,2,47,24,0,0,100,-7,7,8,26,1,12,-7,2,2,8,-8,2,1,0,38
"Good",65,63,4,19,8,0,0,88,36,6,6,13,5,25,-7,0,0,20,92,3,2,0,83
"Good",78,105,4,72,30,0,0,100,-7,7,8,4,1,20,-7,0,0,27,51,2,3,0,55
"Good",83,161,3,85,24,0,0,100,-7,7,8,8,1,21,-7,1,1,5,75,4,2,0,50
"Bad",72,191,1,39,23,0,0,100,-7,7,8,35,5,19,-7,3,3,30,97,6,2,1,44
"Good",77,193,23,43,8,0,0,100,-7,7,8,18,0,13,-7,0,0,45,9,5,1,0,86
"Bad",81,-8,2,79,18,0,0,100,-7,7,8,0,2,42,-7,2,2,21,73,4,3,0,78
"Bad",76,178,1,73,6,0,0,100,-7,7,8,11,1,38,-7,3,3,98,-8,3,2,1,83
"Good",79,150,4,76,19,0,0,100,-7,7,8,29,1,20,-7,2,2,46,-8,2,1,1,44
"Bad",75,146,1,69,16,0,0,100,-7,7,8,20,6,25,-7,2,2,43,98,3,2,0,63
"Good",68,214,2,17,8,0,0,90,-8,6,6,10,3,20,-7,0,0,52,-8,4,1,0,71
"Good",75,224,19,97,21,0,0,100,-7,7,8,21,0,33,-7,0,0,57,49,2,2,2,36
"Bad",77,160,1,67,23,0,0,100,-7,7,8,33,4,17,-7,4,4,22,-8,5,1,0,55
"Good",78,30,6,37,18,0,0,100,-7,7,8,2,3,44,-7,0,0,17,21,2,2,0,44
"Good",83,-8,6,55,6,0,0,100,-7,7,8,0,3,67,-7,1,1,15,101,2,2,0,100
"Bad",55,88,4,43,9,1,0,82,2,3,5,12,2,27,-7,1,1,22,-8,3,1,0,57
"Bad",65,77,17,52,18,1,0,95,4,3,5,14,0,42,-7,1,1,30,68,6,4,1,77
"Bad",88,188,17,107,9,0,0,100,-7,7,8,16,0,33,-7,0,0,0,69,1,2,0,57
"Bad",78,72,1,52,6,0,0,100,-7,7,8,1,1,43,-7,1,1,42,-8,2,2,1,80
"Good",79,199,12,87,12,0,0,92,9,4,6,14,0,17,-7,0,0,1,-8,3,1,0,67
"Good",75,310,1,83,25,0,0,100,-7,7,8,13,4,32,-7,1,1,28,83,3,4,1,62
"Bad",88,133,14,63,5,0,0,100,-7,7,8,6,0,40,-7,0,0,4,44,1,2,0,75
"Bad",70,166,17,77,27,0,0,81,3,4,6,17,0,30,-7,0,0,25,-8,3,2,0,36
"Good",74,206,9,66,16,0,0,100,-7,7,8,37,1,25,-7,2,2,52,56,6,2,1,73
"Bad",85,157,18,62,12,0,0,100,-7,7,8,12,0,8,-7,0,0,13,57,8,1,0,90
"Bad",59,134,4,68,19,2,0,78,30,6,5,23,2,43,-7,0,0,88,85,5,2,1,88
"Good",67,247,3,119,27,0,0,93,4,4,6,3,3,22,-7,1,1,53,98,7,2,2,60
"Bad",70,52,17,42,8,0,0,100,-7,7,8,8,0,38,-7,0,0,95,-8,3,1,2,67
"Bad",87,156,19,70,15,0,0,100,-7,7,8,16,0,27,-7,2,2,2,35,2,2,0,44
"Good",85,220,1,87,20,0,0,100,-7,7,8,18,3,19,-7,3,3,8,67,3,3,0,50
"Bad",64,-8,10,43,14,0,0,93,38,6,6,0,2,53,0,2,2,81,92,4,2,1,86
"Good",80,173,15,82,18,0,0,100,-7,7,8,40,0,47,-8,0,0,32,67,3,4,0,88
"Good",62,157,2,54,28,0,0,86,26,6,6,31,4,24,9,0,0,73,46,7,3,2,83
"Bad",68,-8,4,91,22,0,0,95,4,4,6,0,1,45,3,1,1,40,58,4,3,2,78
"Bad",70,-8,2,54,33,0,0,100,-7,7,8,0,5,34,4,1,1,38,98,2,5,1,64
"Good",80,150,9,26,7,0,0,100,-7,7,8,13,3,29,8,0,0,0,88,0,1,0,25
"Bad",54,134,2,60,30,0,0,85,11,4,6,16,4,32,0,3,3,26,53,5,2,1,50
"Bad",70,113,13,21,9,0,0,100,-7,7,8,14,0,11,0,2,2,20,-8,3,1,1,50
"Bad",68,148,4,22,7,0,0,100,-7,7,8,18,1,43,0,1,1,54,-8,4,1,2,100
"Bad",66,200,4,9,2,0,0,100,-7,7,8,15,1,50,0,2,2,97,-8,1,1,1,100
"Bad",72,5,3,46,10,1,0,91,28,6,5,1,2,36,1,2,2,68,-8,1,1,1,50
"Bad",63,66,7,22,20,0,0,100,-7,7,8,16,4,10,4,1,1,47,38,8,2,1,79
"Good",56,143,11,71,28,0,0,87,4,4,6,22,1,50,2,2,2,84,61,5,4,1,100
"Good",88,-8,1,112,23,0,0,100,-7,7,8,0,2,33,3,1,1,1,87,1,2,0,30
"Good",73,89,8,68,17,1,0,89,28,6,5,9,2,28,8,0,0,0,95,1,3,0,83
"Good",86,166,12,81,12,0,0,100,-7,7,8,18,0,17,-8,0,0,2,98,4,1,0,83
"Bad",56,211,3,30,19,0,0,95,5,4,6,2,1,26,1,2,2,58,97,4,3,1,78
"Bad",70,145,1,11,8,0,0,100,-7,7,8,8,4,30,1,4,4,28,-8,2,1,0,43
"Bad",55,286,3,14,10,0,0,90,10,4,6,20,2,20,0,2,2,70,69,4,2,1,75
"Good",57,189,4,71,26,1,0,86,4,4,5,23,4,32,4,1,1,62,18,5,3,2,67
"Good",87,443,4,151,22,0,0,100,-7,7,8,25,3,27,0,2,2,1,48,3,2,0,55
"Bad",80,115,2,36,6,0,0,100,-7,7,8,13,4,14,0,5,5,4,95,3,1,0,67
"Good",87,310,13,95,19,0,0,100,-7,7,8,25,0,26,4,1,1,12,26,3,3,0,60
"Good",74,202,9,108,15,0,0,94,33,6,6,28,1,63,-8,0,0,48,82,2,1,1,75
"Good",68,178,1,66,21,0,0,96,7,4,6,44,6,74,5,0,0,38,80,3,3,2,75
"Good",80,276,18,128,24,0,0,100,-7,7,8,36,0,13,2,1,1,17,76,5,3,0,69
"Good",77,337,22,70,13,0,0,92,14,6,6,14,0,54,9,0,0,0,-8,1,2,1,75
"Bad",74,158,8,88,37,0,0,97,24,6,6,4,1,42,0,2,2,37,56,3,4,1,78
"Good",78,117,1,57,29,0,0,100,-7,7,8,24,3,30,0,1,1,0,-8,0,2,0,20
"Good",77,257,11,103,21,0,0,100,-7,7,8,21,2,45,2,1,1,20,71,2,2,1,56
"Good",69,91,18,53,36,0,0,100,-7,7,8,41,0,33,4,1,1,72,53,8,5,2,87
"Good",79,-8,1,100,15,0,0,100,-7,7,8,0,1,13,0,3,3,43,28,7,1,2,80
"Good",82,141,10,73,26,0,0,100,-7,7,8,9,1,50,5,0,0,28,52,2,3,1,63
"Bad",62,229,10,45,22,0,0,87,6,4,6,43,2,35,10,0,0,43,-8,4,2,1,50
"Bad",68,115,13,48,15,0,0,80,12,6,6,15,0,33,6,0,0,2,51,3,3,0,78
"Bad",69,218,1,52,15,0,0,100,-7,7,8,35,6,25,9,0,0,71,69,7,3,2,91
"Good",85,179,3,66,20,0,0,100,-7,7,8,26,2,40,0,2,2,9,76,1,4,0,50
"Good",76,320,5,151,26,0,0,96,12,6,6,24,3,38,4,1,1,23,16,6,2,0,75
"Good",79,180,7,99,26,0,0,100,-7,7,8,10,2,23,2,1,1,28,34,4,3,1,58
"Good",86,-8,7,145,12,0,0,100,-7,7,8,0,2,25,7,0,0,11,35,4,2,0,67
"Good",80,104,10,93,36,0,0,97,36,6,6,6,1,23,8,0,0,18,-8,3,3,0,46
"Bad",77,212,13,80,18,0,0,100,-7,7,8,27,0,28,0,2,2,36,-8,8,1,1,91
"Good",82,271,2,79,25,0,0,100,-7,7,8,33,3,31,2,1,1,2,74,4,2,0,50
"Bad",60,283,5,88,19,0,0,89,1,4,6,19,1,47,5,2,2,95,95,2,2,1,67
"Good",88,211,2,57,19,0,0,100,-7,7,8,38,1,14,-8,0,0,6,10,3,2,0,45
"Good",85,242,19,103,15,0,0,100,-7,7,8,18,0,19,-8,0,0,18,-8,6,1,0,70
"Good",89,221,3,74,15,0,0,100,-7,7,8,24,2,47,2,2,2,4,99,2,1,0,60
"Bad",70,59,15,46,23,0,0,96,25,6,6,19,0,48,-8,0,0,63,51,5,1,2,100
